MIN;AVG;MAX
23;56;162
21;68;181
22;59;166
24;52;126
23;65;191
23;54;181
23;55;185
23;56;185
23;50;161
23;54;173
23;60;182
23;62;175
22;59;185
24;56;174
24;54;173
23;57;175
25;61;184
24;55;199
27;60;185
26;61;179
24;57;166
22;62;200
23;56;165
23;55;190
22;54;196
22;57;158
23;55;167
22;56;171
23;57;179
22;55;155
23;59;184
23;57;176
23;57;205
23;64;187
24;58;160
24;55;171
25;66;204
25;56;167
23;62;158
16;66;197
23;61;178
23;60;186
23;58;174
22;59;171
21;54;168
23;57;179
22;49;173
24;51;167
25;56;166
21;51;173
21;50;162
23;56;158
27;62;193
27;60;184
26;62;174
25;57;164
26;60;190
30;64;157
29;64;156
26;67;170
28;77;183
29;75;182
29;73;180
18;61;172
28;62;175
28;61;177
29;68;181
25;66;203
29;68;172
29;66;210
28;68;188
22;67;200
27;73;176
30;73;204
33;73;173
32;69;192
31;71;191
32;84;202
35;83;209
34;86;188
34;77;196
36;78;182
24;75;169
26;73;180
23;65;167
32;82;226
33;74;184
32;70;180
32;74;175
34;74;202
32;70;172
32;71;176
32;75;208
34;73;180
33;82;242
34;75;181
34;77;195
34;83;210
34;79;197
29;70;198
32;73;199
29;60;81
30;77;206
30;67;201
26;71;194
30;71;191
30;67;195
31;68;185
31;79;193
31;68;179
32;69;184
32;79;192
35;90;198
38;81;203
37;88;231
42;93;226
37;95;229
38;96;240
36;91;238
35;89;206
29;86;213
28;74;212
27;88;217
27;81;205
21;79;209
29;84;214
41;85;231
28;75;222
30;75;230
40;88;206
38;88;228
41;93;243
40;89;215
37;81;208
34;78;224
35;75;217
32;75;225
30;80;253
32;87;246
34;77;233
27;87;218
32;79;224
22;82;236
33;72;214
34;78;201
34;84;216
35;76;218
32;85;217
32;83;219
29;70;200
30;72;197
34;73;190
34;73;182
33;72;179
34;76;196
32;74;203
30;82;220
31;66;179
31;72;197
30;93;225
23;91;208
21;91;212
30;83;193
31;77;201
29;86;207
21;95;221
21;81;210
23;95;209
31;89;219
31;85;194
23;88;225
21;89;216
21;91;219
21;84;205
30;72;198
25;76;209
34;71;175
30;77;219
20;88;209
32;78;208
30;69;202
34;75;191
34;74;183
34;83;219
28;94;220
26;94;215
34;78;211
34;84;226
36;85;203
34;69;172
31;69;180
32;70;183
31;71;179
25;89;227
31;77;197
31;78;199
34;76;204
32;77;202
25;77;232
26;84;216
25;65;172
25;66;210
25;63;192
24;61;191
25;55;171
26;62;173
17;63;198
22;59;184
21;90;226
38;88;217
38;85;218
42;96;230
43;97;220
43;104;241
39;99;244
38;91;227
42;101;219
40;103;256
35;94;222
35;91;219
34;90;237
36;88;208
41;86;209
37;82;206
39;90;229
39;86;207
37;89;210
43;95;220
39;85;202
38;81;207
34;79;213
33;71;164
32;78;218
29;76;205
33;69;244
33;73;210
33;73;172
34;73;222
30;71;196
22;79;187
31;73;204
30;80;212
23;88;215
21;85;207
23;92;225
23;91;209
21;85;199
30;71;171
33;75;186
30;71;190
30;68;205
30;75;185
31;68;197
34;73;191
30;70;181
34;81;192
34;83;185
33;78;178
35;74;159
35;79;197
34;74;193
32;74;188
30;68;183
31;71;178
30;70;181
32;76;224
32;69;192
30;72;186
31;71;195
32;72;194
30;70;197
30;67;177
29;71;207
31;70;226
29;65;180
30;65;189
30;71;197
21;74;214
26;69;206
32;70;193
31;72;196
34;74;192
34;73;185
34;80;219
35;77;217
35;77;211
33;72;194
32;67;191
31;74;190
29;74;211
31;66;192
32;69;215
60;70;210
30;74;210
31;75;212
30;61;190
27;74;207
29;69;208
29;70;196
30;65;192
32;71;191
32;70;195
32;70;192
31;75;216
31;68;211
31;73;198
31;69;212
30;76;202
31;73;212
31;69;192
32;74;199
32;77;209
36;78;215
31;81;226
33;73;192
36;80;203
33;77;194
32;75;204
34;80;200
31;73;187
36;81;202
33;77;188
35;76;197
39;88;222
30;75;190
31;70;197
29;69;202
32;77;224
34;76;203
31;74;201
33;73;224
32;74;188
30;71;179
31;72;200
34;75;211
33;75;185
31;71;200
32;73;188
31;72;176
30;71;200
33;73;187
32;73;197
31;76;190
35;77;223
34;82;211
37;91;223
26;88;203
36;88;254
27;96;243
27;101;237
26;92;218
21;103;258
26;91;210
26;98;230
26;98;237
26;95;232
26;96;230
38;96;216
26;89;223
27;98;228
25;94;238
29;96;231
39;86;224
36;93;230
34;73;194
33;76;190
32;70;179
33;78;176
23;81;213
23;84;212
23;83;211
33;73;192
28;90;197
24;89;223
22;87;204
23;83;201
34;89;197
23;83;212
23;85;211
34;80;213
35;79;204
23;80;188
33;79;186
33;77;200
33;77;179
23;85;202
24;85;204
36;83;200
33;76;202
23;85;201
32;83;204
22;82;190
23;84;212
33;80;195
23;84;191
23;81;191
22;80;204
34;84;212
23;88;210
23;83;198
23;84;203
24;85;216
33;83;193
33;84;208
32;79;191
33;77;214
27;81;202
34;83;198
22;83;211
24;87;229
22;86;216
24;86;210
34;75;183
23;82;210
20;76;193
20;79;205
31;74;200
31;74;203
30;74;188
31;72;193
31;68;202
31;72;218
33;73;174
32;70;180
33;76;187
35;85;200
34;76;183
37;100;221
37;90;201
37;85;210
36;85;212
38;85;203
38;84;211
37;88;208
38;93;212
41;86;218
38;86;220
38;86;222
39;86;200
40;86;218
38;84;194
38;87;194
36;82;180
38;83;199
36;87;227
38;88;208
37;94;221
